query,label,complexity,recommended_llm,needs_followup,distractor_label,biomarkers,is_high_risk,query_length
Compare the vitamin C content in fresh vs frozen spinach,comparison,2,TinyLlama,True,,"[""vitamin_c""]",False,10
Which has lower phytate: unfermented ogi or sourdough bread?,comparison,4,Mistral,True,,"[""phytate""]",False,9
How much zinc should a 3-year-old child with chronic diarrhea consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,12
What foods should I eat if I have CKD stage 3 with creatinine 1.8 mg/dL?,therapy,5,Mistral,False,,"[""creatinine""]",True,15
Explain how vitamin K helps with blood clotting,general,4,Mistral,False,,"[""vitamin_k""]",False,8
Compare protein quality of cowpea vs bambara nut using PDCAAS,comparison,3,TinyLlama,True,,"[""protein""]",False,10
What's the recommended daily fiber intake for an adult with constipation?,recommendation,3,Mistral,True,,[],False,11
Is palm oil or shea butter better for vitamin E absorption?,comparison,2,TinyLlama,True,,"[""vitamin_e""]",False,11
Nutrition therapy for hypertension with creatinine 1.2 mg/dL,therapy,5,Mistral,False,,"[""creatinine""]",True,8
How does iron get absorbed in the gut?,general,4,Mistral,False,,"[""iron""]",False,8
Compare iron bioavailability in raw vs sprouted lentils,comparison,4,Mistral,True,,"[""iron""]",False,8
What's the ideal protein intake for a child with kwashiorkor?,recommendation,5,Mistral,True,,[],True,10
"Which African staple has the lowest phytate: fufu, ugali, or banku?",comparison,3,TinyLlama,True,,"[""phytate""]",False,11
How much vitamin D should a breastfed infant consume daily?,recommendation,4,Mistral,True,,"[""vitamin_d""]",False,10
Compare glycemic index of boiled yam vs roasted plantain,comparison,3,TinyLlama,True,,"[""glycemic_index""]",False,9
What should I eat if I have celiac disease and iron deficiency anemia (ferritin 8 ng/mL)?,therapy,5,Mistral,False,,"[""ferritin""]",True,16
How much omega-3 should someone with rheumatoid arthritis consume daily?,recommendation,4,Mistral,True,,"[""omega_3""]",False,10
Compare calcium content in traditional Nigerian vs Ghanaian soups,comparison,3,TinyLlama,True,,"[""calcium""]",False,9
Which has higher lysine: bambara nut or cowpea?,comparison,2,TinyLlama,True,,"[""lysine""]",False,8
How does vitamin C retention compare between sun-dried and smoked tomatoes?,comparison,3,TinyLlama,True,,"[""vitamin_c""]",False,11
What's the recommended daily water intake for someone in Ghanaian climate?,recommendation,3,Mistral,True,,[],False,11
Compare vitamin K levels in raw kale vs fermented soy (natto),comparison,3,TinyLlama,True,,"[""vitamin_k""]",False,11
How much vitamin D should a dark-skinned person in Nigeria take daily?,recommendation,4,Mistral,True,,"[""vitamin_d""]",False,12
Compare the iron content of palm oil and shea butter,comparison,2,TinyLlama,True,,"[""iron""]",False,10
What's the ideal carbohydrate intake for a diabetic patient?,recommendation,3,Mistral,True,,[],False,9
Is palm wine or fermented maize better for gut microbiome?,comparison,4,Mistral,True,,"[""gut_microbiome""]",False,10
How much iron should a menstruating woman consume daily?,recommendation,3,Mistral,True,,"[""iron""]",False,9
Compare protein quality of cowpea vs bambara nut,comparison,3,TinyLlama,True,,"[""protein""]",False,8
What's the recommended daily sodium limit for someone with hypertension?,recommendation,3,Mistral,True,,[],False,10
How much vitamin B12 should a vegan consume daily?,recommendation,3,Mistral,True,,"[""vitamin_b12""]",False,9
Compare iron bioavailability in raw vs sprouted lentils,comparison,4,Mistral,True,,"[""iron""]",False,8
What's the ideal calcium intake for a postmenopausal woman?,recommendation,3,Mistral,True,,"[""calcium""]",False,9
How much magnesium should someone with migraines consume daily?,recommendation,4,Mistral,True,,"[""magnesium""]",False,9
What's the recommended daily potassium intake for someone on diuretics?,recommendation,4,Mistral,True,,"[""potassium""]",False,10
How much folate should a pregnant woman consume daily?,recommendation,3,Mistral,True,,"[""folate""]",False,9
How much zinc should a child with diarrhea consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,10
What's the recommended daily vitamin A intake for a child in Nigeria?,recommendation,4,Mistral,True,,"[""vitamin_a""]",False,12
How much vitamin K should someone on warfarin maintain daily?,recommendation,5,Mistral,True,,"[""vitamin_k""]",True,10
What's the ideal iron intake for a vegetarian athlete?,recommendation,4,Mistral,True,,"[""iron""]",False,9
How much vitamin C should a child with scurvy consume daily?,recommendation,5,Mistral,True,,"[""vitamin_c""]",True,11
What's the recommended daily calorie intake for weight loss in Nigeria?,recommendation,4,Mistral,True,,[],False,11
How much protein should a child with marasmus consume daily?,recommendation,5,Mistral,True,,[],True,10
What's the ideal fat intake for someone with fatty liver disease?,recommendation,4,Mistral,True,,[],False,11
Compare phytate reduction: soaking vs sprouting vs fermenting cowpeas,comparison,4,Mistral,True,,"[""phytate""]",False,9
Which has higher lycopene: fresh vs cooked tomatoes?,comparison,2,TinyLlama,True,,"[""lycopene""]",False,8
Compare iron content in traditional Nigerian vs Ghanaian soups,comparison,3,TinyLlama,True,,"[""iron""]",False,9
Is roasted or boiled yam better for blood sugar control?,comparison,3,TinyLlama,True,,"[""glycemic_index""]",False,10
Compare zinc levels in fresh vs dried crayfish,comparison,3,TinyLlama,True,,"[""zinc""]",False,8
"Which traditional preparation lowers phytate most: ogi, akamu, or kenkey?",comparison,4,Mistral,True,,"[""phytate""]",False,10
Compare protein quality: boiled vs roasted groundnuts,comparison,3,TinyLlama,True,,"[""protein""]",False,7
Is palm oil or coconut oil better for vitamin E absorption?,comparison,2,TinyLlama,True,,"[""vitamin_e""]",False,11
Compare iron bioavailability: fresh vs canned spinach,comparison,3,TinyLlama,True,,"[""iron""]",False,7
Which has lower oxalate: raw amaranth or cooked jute leaves?,comparison,3,TinyLlama,True,,"[""oxalate""]",False,10
Compare vitamin B12 in fortified vs unfortified plant milks,comparison,3,TinyLlama,True,,"[""vitamin_b12""]",False,9
Is boiled egg or palm nut soup better for choline intake?,comparison,2,TinyLlama,True,,"[""choline""]",False,11
Compare magnesium bioavailability in raw vs roasted pumpkin seeds,comparison,4,Mistral,True,,"[""magnesium""]",False,9
Which has higher tryptophan: unfermented vs fermented soy?,comparison,3,TinyLlama,True,,"[""tryptophan""]",False,8
Compare potassium content in fresh vs dried bananas,comparison,2,TinyLlama,True,,"[""potassium""]",False,8
Is palm wine or fermented cassava better for gut health?,comparison,4,Mistral,True,,"[""gut_health""]",False,10
Compare vitamin D3 in fortified milk vs egg yolks,comparison,3,TinyLlama,True,,"[""vitamin_d""]",False,9
